15,-15,-984,86688
15,-15,-984,86698
15,-15,-984,86709
15,-31,-984,86719
15,-15,-984,86730
15,-15,-984,86745
15,-31,-984,86766
15,-15,-984,86787
15,-15,-984,86807
15,-15,-984,86829
15,-15,-984,86849
15,-31,-984,86870
15,-15,-984,86891
15,-31,-984,86913
15,-15,-984,86933
15,-31,-984,86954
15,-15,-984,86975
15,-15,-984,86996
15,-15,-984,87017
15,-15,-984,87038
15,-15,-984,87060
15,-15,-984,87085
15,-15,-984,87106
15,-15,-984,87127
15,-15,-984,87148
15,-15,-984,87169
15,-15,-984,87190
15,-15,-984,87210
15,-31,-984,87231
15,-15,-984,87252
15,-15,-984,87283
15,-31,-984,87305
15,-15,-984,87326
15,-15,-984,87347
15,-31,-984,87368
15,-15,-984,87389
15,-15,-984,87404
15,-15,-984,87425
0,265,-984,87445
46,421,-937,87476
125,-46,-1000,87497
-46,-281,-1031,87518
-31,15,-1046,87539
234,312,-1609,87560
125,125,-1343,87582
-31,-78,-1828,87603
-46,-171,-2000,87624
15,-140,-1687,87644
-156,-296,-1500,87665
-125,-187,-1625,87686
-62,-78,-1078,87708
-46,-31,-640,87734
-62,-31,-390,87755
-31,-78,-93,87775
-31,15,62,87797
-31,46,250,87817
0,78,140,87839
-62,93,-156,87859
-109,-15,-281,87880
-140,-31,-296,87901
-109,46,-281,87922
-125,-93,-343,87944
-187,-140,-671,87964
-203,-62,-1156,87985
-218,140,-1359,88006
-187,109,-1296,88027
-234,-15,-1312,88048
-250,-93,-1812,88073
-234,-31,-1828,88095
-187,15,-1609,88116
-140,31,-1390,88147
-171,-31,-1203,88167
-187,-78,-1234,88189
-156,-78,-1234,88210
-171,-93,-1062,88231
-234,-156,-1031,88252
-265,-171,-1109,88272
-281,-171,-1140,88293
-328,-234,-1015,88314
-390,-328,-984,88336
-406,-296,-1000,88358
-406,-265,-906,88379
-390,-234,-875,88405
-390,-171,-812,88426
-375,-125,-890,88447
-375,-46,-968,88467
-375,-78,-890,88488
-343,-46,-718,88509
-296,-46,-500,88530
-250,-15,-281,88550
-203,15,-62,88572
-15,187,140,88604
31,265,125,88625
-46,140,-171,88646
-171,-78,-687,88667
-359,-359,-937,88688
-437,-671,-1296,88710
-531,-546,-1515,88724
-437,-390,-1593,88745
-406,-203,-1625,88776
-359,-109,-1875,88798
-343,-31,-1890,88808
-250,0,-1593,88829
-203,-31,-1406,88861
-218,-93,-1312,88882
-234,-203,-1093,88903
-234,-250,-875,88924
-218,-234,-687,88946
-171,-78,-687,88966
-125,62,-593,88987
-93,234,-562,89008
-78,250,-609,89029
-125,78,-703,89055
-125,31,-750,89075
-62,140,-765,89096
0,218,-562,89117
46,234,-500,89138
93,250,-609,89159
109,296,-968,89179
125,281,-968,89201
140,265,-937,89222
609,453,-1968,89243
312,453,-843,89264
140,500,-921,89284
